1,1:55.5
2,1:43.8
3,1:43.6
4,1:43.2
5,1:43.3
6,1:43.1
7,1:43.0
8,1:44.5
9,1:43.3
10,1:45.2
11,1:44.1
12,1:44.2
13,1:43.8
14,1:46.0
15,1:45.1
