1,1:53.0
2,1:43.6
3,1:43.4
4,1:43.6
5,1:42.9
6,1:42.7
7,1:43.1
8,1:42.1
9,1:43.1
10,1:43.1
11,1:43.0
12,1:42.8
13,1:42.8
14,1:42.5
